 151,내 일로 건너가는 법,김민철,15，120
 152,달러구트 꿈 백화점(레인보우 에디션),이미예,12，420
 154,2022 하반기 렛유인 GSAT 삼성직무적성검사 Final 봉투모의고사,정지성 외,14，400
 155,신인류가 몰려온다,이시형,14，400
 156,계절의 위로,서은,13，950
 157,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 외,14，400
 158,큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화(1， 2， 3급),최태성,13，950
 159,나는 나의 밤을 떠나지 않는다,아니 에르노 외,11，700
 160,백년허리 1: 진단편,정선근,16，650
 161,처음 가는 마을,이바라기 노리코 외,9，900
 162,Word Master 수능 2000,김태희,11，700
 163,당신의 뇌는 최적화를 원한다,가바사와 시온 외,13，500
 164,기억 전달자,로이스 로리 외,10，800
 165,불순한 스캔들. 외전,리버 진,1，000
 166,어서 오세요， 이야기 수학 클럽에,김민형,14，400
 167,EBS 만점마무리 봉투모의고사 사회탐구영역 생활과 윤리 5회분(2022)(2023 수능대비),EBS교육방송 편집부,5，400
 168,아몬드(100만 부 기념 특별판),손원평,10，800
 169,꽃을 보듯 너를 본다,나태주,9，000
 170,EBS 고난도 시크릿X 봉투모의고사 수학영역(2022)(2023 수능 대비),EBS교육방송 편집부,8，820
 171,벌거벗은 세계사: 전쟁편,tvn<벌거벗은세계사>제작팀,20，700
 172,파친코 1,이민진 외,12，500
 175,책과 우연들,김초엽,14，400
 176,설민석의 한국사 대모험 22,설민석 외,11，700
 177,경제지표 정독법,김영익,16，650
 178,예쁘게 말하는 네가 좋다,김범준,14，220
 179,어떻게 말해줘야 할까(60만 부 기념 한정판 리커버),오은영 외,15，750
 180,타이탄의 도구들(블랙 에디션),팀 페리스 외,16，200
 181,웰씽킹(WEALTHINKING),켈리 최,14，400
 182,잔소리카락을 뽑아라,김경미 외,10，080
 183,감옥으로부터의 사색,신영복,16，200
 184,EBS 50일 고등 수학(상)(2022),EBS 편집부,6，300
 185,나는 오늘부터 달라지기로 결심했다,그레첸 루빈 외,13，320
 186,코스모스,칼 세이건 외,17，910
 187,그리고 행복하다는 소식을 들었습니다,이병률,14，220
 188,보그(2022년 10월호),두산매거진 편집부,11，400
 189,EBS 만점마무리 봉투모의고사 과학탐구영역 지구과학1 5회분(2022)(2023 수능대비),EBS교육방송 편집부,5，400
 190,눈물 한 방울,이어령,14，220
 191,Wonder 영화 <원더> 원작 소설 미국판,R. J. Palacio,6，400
 192,이해찬 회고록,이해찬,20，700
 193,멘탈을 바꿔야 인생이 바뀐다,박세니,14，220
 194,역행자,자청,12，300
 197,라이프 트렌드 2023,김용섭,16，200
 198,마지막 이야기 전달자,도나 바르바 이게라 외,16，200
 199,위로의 미술관,진병관,16，920
 200,초역 니체의 말,프리드리히 니체 외,14，220
 201,흔한남매 11,백난도 외,13，050
 202,당신은 사건 현장에 있습니다,모데스토 가르시아 외,25，200
 203,인플레이션에서 살아남기,오건영,16，920
 204,최재천의 공부,최재천 외,14，850
 205,사건,아니 에르노 외,9，720
